,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO
81,1300409.0,Barcelos,13.0,AM,438.7243243243243,477.11764705882354,474.01176470588234,445.5567567567567,479.4117647058824
82,1300508.0,Barreirinha,13.0,AM,438.72711864406784,449.8859504132231,451.195867768595,425.80593220338983,465.12396694214874
83,1300607.0,Benjamin Constant,13.0,AM,420.7472727272727,437.61538461538464,442.0615384615385,413.8818181818182,464.61538461538464
84,1300631.0,Beruri,13.0,AM,418.15,447.01794871794874,433.7871794871795,425.53055555555557,423.5897435897436
85,1300680.0,Boa Vista do Ramos,13.0,AM,408.87,454.12950819672136,448.9672131147541,415.35999999999996,427.8688524590164
86,1300706.0,Boca do Acre,13.0,AM,437.99577464788734,459.69102564102565,464.64487179487185,449.5450704225352,496.6666666666667
87,1300805.0,Borba,13.0,AM,432.796062992126,442.2710743801653,447.2925619834711,438.044094488189,437.8512396694215
88,1300839.0,Caapiranga,13.0,AM,382.67,411.3722222222222,429.47592592592594,377.996,389.25925925925924
89,1300904.0,Canutama,13.0,AM,440.8666666666667,465.03999999999996,441.445,465.9777777777778,398.0
90,1301001.0,Carauari,13.0,AM,434.6435483870968,453.7544117647059,461.9132352941176,431.2951612903226,518.2352941176471
91,1301100.0,Careiro,13.0,AM,440.9915887850467,447.4833333333333,456.462962962963,444.0084112149533,476.6666666666667
92,1301159.0,Careiro da Várzea,13.0,AM,440.06374999999997,435.81875,443.27,441.44875,532.25
93,1301209.0,Coari,13.0,AM,444.2996015936255,462.64732824427483,464.6389312977099,448.9490039840637,518.5496183206106
94,1301308.0,Codajás,13.0,AM,403.54615384615386,449.2140350877193,449.8122807017544,412.68,467.0175438596491
95,1301407.0,Eirunepé,13.0,AM,458.53103448275857,485.11477272727274,484.9625,472.8390804597701,555.0
96,1301506.0,Envira,13.0,AM,450.54318181818184,434.6,454.31904761904764,422.4931818181818,603.8095238095239
97,1301605.0,Fonte Boa,13.0,AM,434.3545454545454,453.56388888888887,445.4222222222222,414.80454545454546,427.77777777777777
98,1301654.0,Guajará,13.0,AM,412.88571428571424,437.03333333333336,453.9933333333334,410.7285714285714,522.6666666666666
99,1301704.0,Humaitá,13.0,AM,453.1471204188482,485.77772020725394,486.42279792746115,467.91413612565447,528.8082901554404
100,1301803.0,Ipixuna,13.0,AM,462.68,484.68518518518516,482.35555555555555,448.94,548.1481481481482
